==367439== NVPROF is profiling process 367439, command: ./gd_multi
==367439== Profiling application: ./gd_multi
==367439== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
1.14696s  1.1200us                    -               -         -         -         -      112B  95.367MB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
26.3168s  1.13707s                    -               -         -         -         -  3.7253GB  3.2762GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.4541s  2.9440us                    -               -         -         -         -  39.063KB  12.654GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.4543s  34.753us                    -               -         -         -         -  390.63KB  10.719GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.4544s  6.8840ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [927]
27.4613s  2.9120us                    -               -         -         -         -  39.063KB  12.793GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.4615s  3.0400us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [932]
27.4615s  6.8890ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [934]
27.4684s  1.2160us                    -               -         -         -         -  2.1289KB  1.6696GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.4684s  6.4320us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [940]
27.4684s  3.8400us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [943]
27.4684s  1.7600us                    -               -         -         -         -        4B  2.1674MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.4685s  1.5360us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [950]
27.4685s  2.6560us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [954]
27.4685s  6.8869ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [956]
27.4754s  6.9559ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [958]
27.4823s  2.6890us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [963]
27.4823s  6.8873ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [965]
27.4892s     960ns                    -               -         -         -         -  2.1289KB  2.1149GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.4892s  4.8000us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [971]
27.4892s  3.8400us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [974]
27.4892s  1.4400us                    -               -         -         -         -        4B  2.6491MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.4893s  1.7600us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [981]
27.4893s  2.4640us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [985]
27.4893s  6.8810ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [987]
